nu Oct A b,nu Oct A,1,2,1,Radial Velocity,2016,University of Canterbury Mt John Observatory,Published Confirmed,1,<a refstr=RAMM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2793R/abstract target=ref>Ramm et al. 2021</a>,417.0,1.0,-2.0,0.0,1.25,0.05,-0.05,0.0,,,,,,,,,762.78818,63.56568,-95.34852,0.0,2.4,0.2,-0.3,0.0,,,,,,,,,,,,,,,,,762.78818,63.56568,-95.34852,0.0,2.4,0.2,-0.3,0.0,Mass,,,,,0.11,0.02,-0.02,0.0,,,,,,,,,,,,,,,,,,0.0,43.0,2.0,-3.0,0.0,<a refstr=RAMM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2793R/abstract target=ref>Ramm et al. 2021</a>,K1 IIIb-IV,4860.0,40.0,-40.0,0.0,5.81,0.12,-0.12,0.0,1.61,0.15,-0.15,0.0,,,,,,1.23,,,0.0,,,,,2.8,0.2,-0.3,0.0,,,,,2.0,0.5,-0.5,0.0,140.0,35.0,-35.0,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h41m28.87s,325.3702792,-77d23m27.91s,-77.3910853,21.1999,1.30061,-1.30061,3.73,0.03,-0.03,1.458,0.306,-0.306,3.44162,0.0044681,-0.0044681,2023-01-18,2021-04,2023-01-18
ome Ser b,ome Ser,1,2,1,Radial Velocity,2013,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013PASJ...65...85S/abstract target=ref> Sato et al. 2013 </a>,277.02,0.52,-0.51,0.0,1.1,,,0.0,,,,,,,,,,,,,,,,,540.3,,,0.0,1.7,,,0.0,,,,,,,,,540.3,,,0.0,1.7,,,0.0,Msini,,,,,0.106,0.079,-0.069,0.0,,,,,,,,,,,,,,,,,,0.0,31.8,2.3,-2.3,0.0,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013PASJ...65...85S/abstract target=ref> Sato et al. 2013 </a>,G8 III,4770.0,10.0,-10.0,0.0,12.3,0.88,-0.82,0.0,2.17,0.21,-0.29,0.0,-0.24,0.02,-0.02,0.0,[Fe/H],1.85,,,0.0,2.32,0.04,-0.04,0.0,,,,,,,,,1.89,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h50m17.58s,237.5732422,+02d11m46.69s,2.196304,76.7556,0.7949,-0.7949,5.21644,0.023,-0.023,2.929,0.224,-0.224,4.92833,0.0023375,-0.0023375,2014-05-14,2013-08,2014-05-14
omi CrB b,omi CrB,1,1,1,Radial Velocity,2012,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,187.83,0.54,-0.54,0.0,0.83,,,0.0,,,,,,,,,,,,,,,,,476.745,,,0.0,1.5,,,0.0,,,,,,,,,476.745,,,0.0,1.5,,,0.0,Msini,,,,,0.191,0.085,-0.085,0.0,,,,,,,,,,,,,,,,,JD,0.0,32.25,2.8,-2.8,0.0,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,,4749.0,20.0,,0.0,10.5,0.7,,0.0,2.13,0.23,,0.0,,,,,,1.709,,,0.0,,,,,,,,,,,,,2.3,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h20m08.42s,230.0350768,+29d36m57.68s,29.6160222,84.7883,0.5533,-0.5533,5.5052,0.023,-0.023,2.934,0.322,-0.322,5.22055,0.0017426,-0.0017426,2015-09-02,2012-12,2015-09-03
rho CrB d,rho CrB,1,1,4,Radial Velocity,2023,Lowell Observatory,Published Confirmed,0,<a refstr=BREWER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230606888B/abstract target=ref>Brewer et al. 2023</a>,282.2,2.2,-3.7,0.0,0.827,0.011,-0.011,0.0,,,,,,,,,,,,,,,,,21.6,2.5,-2.5,0.0,0.06796,0.00787,-0.00787,0.0,,,,,,,,,21.6,2.5,-2.5,0.0,0.06796,0.00787,-0.00787,0.0,Msini,,,,,0.0,,,0.0,,,,,,,,,,,,,2455583.0,54.0,-31.0,0.0,BJD,0.0,2.2,0.14,-0.14,0.0,<a refstr=BREWER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230606888B/abstract target=ref>Brewer et al. 2023</a>,,5817.0,24.0,-24.0,0.0,1.34,0.04,-0.04,0.0,0.95,0.01,-0.01,0.0,-0.2,0.01,-0.01,0.0,[Fe/H],0.26,0.019,-0.02,0.0,4.25,0.05,-0.05,0.0,10.2,0.5,-0.5,0.0,,,,,0.8,0.3,-0.3,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h01m02.42s,240.2600639,+33d18m00.67s,33.3001861,17.4671,0.0241,-0.024,5.40816,0.023,-0.023,3.857,0.036,-0.036,5.24167,0.0021744,-0.0021744,2023-07-11,2023-08,2023-07-11
tau Cet e,tau Cet,1,1,4,Radial Velocity,2017,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>,162.87,1.08,-0.46,0.0,0.538,0.06,-0.06,0.0,,,,,,,,,,,,,,,,,3.93,0.83,-0.64,0.0,0.01237,0.00261,-0.00201,0.0,,,,,,,,,3.93,0.83,-0.64,0.0,0.01237,0.00261,-0.00201,0.0,Msini,,,,,0.18,0.18,-0.14,0.0,,,,,,,,,,,,,,,,,,0.0,0.55,0.13,-0.09,0.0,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>,,,,,,,,,,0.78,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.60304,0.00678,-0.00675,3.49607,0.023,-0.023,1.794,0.274,-0.274,3.24854,0.0103988,-0.0103988,2017-08-14,2017-10,2017-08-17
tau Gem b,tau Gem,1,1,1,Radial Velocity,2013,Lick Observatory,Published Confirmed,0,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,305.5,0.1,-0.1,0.0,1.17,,,0.0,,,,,,,,,,,,,,,,,6547.0,,,0.0,20.6,,,0.0,,,,,,,,,6547.0,,,0.0,20.6,,,0.0,Msini,,,,,0.031,0.009,-0.009,0.0,,,,,,,,,,,,,,,,,,0.0,350.2,,,0.0,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,K2 III,4388.0,25.0,-25.0,0.0,26.8,0.7,-0.7,0.0,2.3,0.3,-0.3,0.0,0.14,0.1,-0.1,0.0,[Fe/H],,,,,1.96,0.08,-0.08,0.0,1.22,0.76,-0.76,0.0,,,,,1.0,,,1.0,,,,,22.02,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m08.33s,107.7847232,+30d14m41.84s,30.2449545,112.537,4.253,-3.959,4.37799,0.023,-0.023,1.681,0.254,-0.254,4.03996,0.0067088,-0.0067088,2014-05-14,2013-07,2014-05-14
ups And c,ups And,1,2,3,Radial Velocity,1999,Multiple Observatories,Published Confirmed,0,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>,241.258,0.064,-0.064,0.0,0.827774,1.5e-05,-1.5e-05,0.0,,,,,,,,,,,,,,,,,629.595,6.03852,-6.03852,0.0,1.981,0.019,-0.019,0.0,,,,,,,,,629.595,6.03852,-6.03852,0.0,1.981,0.019,-0.019,0.0,Msini,,,,,0.2596,0.0079,-0.0079,0.0,,,,,,,,,,,,,,,,,,0.0,68.14,0.45,-0.45,0.0,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>,F8 V,,,,,1.56,,,0.0,1.3,,,0.0,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h36m47.60s,24.1983534,+41d24m13.73s,41.4038147,13.4054,0.0635,-0.0629,4.09565,0.023,-0.023,2.859,0.274,-0.274,3.98687,0.0089371,-0.0089371,2019-01-28,2011-01,2019-01-31
ups Leo b,ups Leo,1,1,1,Radial Velocity,2021,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PASJ..tmp..128T/abstract target=ref>Teng et al. 2021</a>,385.2,2.8,-1.3,0.0,1.18,0.11,-0.32,0.0,,,,,,,,,,,,,,,,,162.09249,19.0697,-82.63539,0.0,0.51,0.06,-0.26,0.0,,,,,,,,,162.09249,19.0697,-82.63539,0.0,0.51,0.06,-0.26,0.0,Msini,,,,,0.32,0.134,-0.218,0.0,,,,,,,,,,,,,,,,,JD,0.0,11.7,1.7,-1.6,0.0,<a refstr=TENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PASJ..tmp..128T/abstract target=ref>Teng et al. 2021</a>,G9 III,4836.0,,,0.0,11.22,3.15,-0.45,0.0,1.48,0.9,-0.38,0.0,-0.2,0.09,-0.08,0.0,[Fe/H],1.8,0.221,-0.055,0.0,2.46,0.09,-0.09,0.0,,,,,,,,,1.78,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m56.93s,174.2372188,-00d49m24.83s,-0.8235643,52.5973,0.9272,-0.8963,4.3049,0.023,-0.023,2.184,0.248,-0.248,4.0304,0.008513,-0.008513,2022-01-10,2021-12,2022-01-10
xi Aql b,xi Aql,1,1,1,Radial Velocity,2007,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,136.75,0.25,-0.25,0.0,0.68,,,0.0,,,,,,,,,,,,,,,,,890.0,,,0.0,2.8,,,0.0,,,,,,,,,890.0,,,0.0,2.8,,,0.0,Msini,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,65.4,1.7,-1.7,0.0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,,4780.0,30.0,-30.0,0.0,12.0,,,0.0,2.2,,,0.0,-0.205,0.039,-0.039,0.0,[Fe/H],1.839,,,0.0,2.66,0.11,-0.11,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m14.99s,298.5624491,+08d27m39.98s,8.4611051,56.1858,0.55975,-0.55975,4.70964,0.023,-0.023,2.171,0.22,-0.22,4.42501,0.0038369,-0.0038369,2014-05-14,2008-06,2014-05-14
14 And b,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84,0.23,-0.23,0.0,0.83,,,0.0,,,,,,,,,,,,,,,,,1525.5,,,0.0,4.8,,,0.0,,,,,,,,,1525.5,,,0.0,4.8,,,0.0,Msini,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,100.0,1.3,-1.3,0.0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,[Fe/H],1.763,,,0.0,2.63,0.07,-0.07,0.0,,,,,,,,,2.6,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,2014-05-14,2008-12,2014-05-14
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,,,,,,,,,,,,,,,,,4392.4106,572.094,-572.094,0.0,13.82,1.8,-1.8,0.0,,,,,,,,,4392.4106,572.094,-572.094,0.0,13.82,1.8,-1.8,0.0,Msini,,,,,0.29,0.09,-0.09,0.0,,,,,,,,,,,,,,,,,,0.0,272.0,24.0,-24.0,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,,,0.0,[Fe/H],,,,,4.43,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512,2018-09-04,2017-03,2018-09-06
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,,,,,,,,,,,,,,,,,2256.5,508.5,-508.5,0.0,7.1,1.6,-1.6,0.0,,,,,,,,,2256.5,508.5,-508.5,0.0,7.1,1.6,-1.6,0.0,Msini,,,,,0.432,0.024,-0.024,0.0,,,,,,,,,,,,,,,,,,0.0,215.55,7.1,-7.1,0.0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,[Fe/H],,,,,1.8,0.15,-0.15,0.0,4.604,2.0,-2.0,0.0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,2014-05-14,2007-09,2014-05-14
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,1233.13,270.14,-270.14,0.0,3.88,0.85,-0.85,0.0,,,,,,,,,1233.13,270.14,-270.14,0.0,3.88,0.85,-0.85,0.0,Msini,,,,,0.38,0.06,-0.06,0.0,,,,,,,,,,,,,,,,,,0.0,110.5,7.0,-7.0,0.0,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,K1.5 III,4200.0,70.0,-70.0,0.0,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0,-0.46,0.05,-0.05,0.0,[Fe/H],,,,,1.71,0.05,-0.05,0.0,9.49,1.76,-1.76,0.0,,,,,1.0,,,1.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.216,-0.216,4.43216,0.006238,-0.006238,2014-05-14,2009-06,2014-05-14
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,Multiple Observatories,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,,,,,,,,,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,Msini,,,,,0.08,0.05,-0.04,0.0,,,,,,,,,,,,,,,,,,0.0,5.14,0.26,-0.25,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],,,,,4.43,0.02,-0.02,0.0,,,,,,,,,1.23,0.01,-0.01,1.0,38.8,0.05,-0.05,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,Lick Observatory,Published Confirmed,0,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,181.4,0.1,-0.1,0.0,0.7,,,0.0,,,,,,,,,,,,,,,,,1017.0,,,0.0,3.2,,,0.0,,,,,,,,,1017.0,,,0.0,3.2,,,0.0,Msini,,,,,0.027,0.026,-0.026,0.0,,,,,,,,,,,,,,,,,,0.0,91.5,,,0.0,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,K0 III,4665.0,18.0,-18.0,0.0,11.0,0.1,-0.1,0.0,1.4,0.1,-0.1,0.0,-0.03,0.1,-0.1,0.0,[Fe/H],,,,,2.52,0.05,-0.05,0.0,3.56,0.63,-0.63,0.0,,,,,3.9,0.5,-0.5,0.0,,,,,-25.75,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,0.51325,-0.51325,4.23946,0.023,-0.023,1.597,0.236,-0.236,3.95311,0.008843,-0.008843,2014-05-14,2013-07,2014-05-14
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,McDonald Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,268.94,0.99,-0.99,0.0,0.78,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,330.5432,149.3801,-149.3801,0.0,1.04,0.47,-0.47,0.0,,,,,,,,,330.5432,149.3801,-149.3801,0.0,1.04,0.47,-0.47,0.0,Msini,,,,,0.29,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,,0.0,55.2,2.3,-2.3,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4864.0,101.0,-101.0,0.0,0.86,0.04,-0.04,0.0,0.49,0.33,-0.33,0.0,0.17,,,0.0,[Fe/H],,,,,4.26,0.29,-0.29,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,0.0846,-0.0844,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253,2018-09-04,2017-03,2018-09-06
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,McDonald Observatory,Published Confirmed,0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,137.48,0.34,-0.34,0.0,0.539,,,0.0,,,,,,,,,,,,,,,,,352.78,,,0.0,1.11,,,0.0,,,,,,,,,352.78,,,0.0,1.11,,,0.0,Msini,,,,,0.26,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,0.0,42.7,4.4,-4.4,0.0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,K0,4796.0,117.0,-117.0,0.0,14.7,2.8,-2.8,0.0,1.1,0.2,-0.2,0.0,0.28,0.07,-0.07,0.0,[Fe/H],2.01,0.75,-0.75,0.0,2.8,0.45,-0.45,0.0,7.1,4.2,-4.2,0.0,,,,,2.3,0.8,-0.8,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,6.44,-6.44,9.01,0.03,-0.03,6.525,0.016,-0.016,8.7178,0.000291,-0.000291,2014-05-14,2013-06,2014-05-14
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,307.88,1.47,-1.47,0.0,0.83,0.04,-0.04,0.0,,,,,,,,,,,,,,,,,432.24663,38.13941,-38.13941,0.0,1.36,0.12,-0.12,0.0,,,,,,,,,432.24663,38.13941,-38.13941,0.0,1.36,0.12,-0.12,0.0,Msini,,,,,0.12,0.06,-0.06,0.0,,,,,,,,,2.579,,,-1.0,,,,,,0.0,47.68,2.78,-2.78,0.0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,K1,5004.0,50.0,-50.0,0.0,,,,,0.81,0.07,-0.07,0.0,-0.09,0.03,-0.03,0.0,[Fe/H],,,,,4.22,0.13,-0.13,0.0,,,,,,,,,2.0,1.0,-1.0,0.0,,,,,-6.82,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,0.1919,-0.1905,9.67,0.03,-0.03,7.557,0.024,-0.024,9.41266,0.000255,-0.000255,2021-05-28,2021-07,2021-05-28
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,McDonald Observatory,Published Confirmed,0,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,392.6,5.5,-5.5,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,289.2253,,,0.0,0.91,,,0.0,,,,,,,,,289.2253,,,0.0,0.91,,,0.0,Msini,,,,,0.2,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,0.0,31.9,2.6,-2.6,0.0,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,K0 III,4414.0,15.0,-15.0,0.0,11.0,1.0,-1.0,0.0,0.74,0.39,-0.39,0.0,-0.2,0.07,-0.07,0.0,[Fe/H],1.69,0.33,-0.33,0.0,2.24,0.06,-0.06,0.0,,,,,,,,,1.0,,,1.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,43.849,-43.849,9.139,0.004,-0.004,5.904,0.018,-0.018,8.65569,0.000365,-0.000365,2015-08-12,2012-01,2015-08-13
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,265.59,1.04,-1.04,0.0,0.78,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,228.83645,25.42627,-25.42627,0.0,0.72,0.08,-0.08,0.0,,,,,,,,,228.83645,25.42627,-25.42627,0.0,0.72,0.08,-0.08,0.0,Msini,,,,,0.27,0.06,-0.06,0.0,,,,,,,,,0.601,,,-1.0,,,,,BJD,0.0,25.12,1.74,-1.74,0.0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,K3,5012.0,78.0,-78.0,0.0,,,,,0.91,0.1,-0.1,0.0,0.18,0.05,-0.05,0.0,[Fe/H],,,,,4.09,0.16,-0.16,0.0,,,,,,,,,2.0,1.0,-1.0,0.0,,,,,-25.65,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,0.0974,-0.0971,9.38,0.03,-0.03,7.331,0.021,-0.021,9.15305,0.000163,-0.000163,2021-05-28,2021-07,2021-05-28
